"","sample","group","silhouette_width","enrich_sig"
"249","915-5115198","4",0.948,"Sig2"
"250","915-5115160","4",0.952,"Sig2"
"251","915-5115158","4",0.952,"Sig2"
"252","915-5115129","4",0.952,"Sig2"
"253","915-1115156","4",0.906,"Sig2"
"254","915-1115092","4",0.862,"Sig2"
"255","915-1115091","4",0.862,"Sig2"
"256","915-1115088","4",0.808,"Sig2"
"257","915-1115086","4",0.816,"Sig2"
"258","909-WCMC7520-2","4",0.467,"Sig2"
"259","909-WCMC7520-1","4",0.761,"Sig2"
"260","909-WCMC7520","4",0.669,"Sig2"
"261","909-WCMC10364","4",0.917,"Sig2"
"262","909-21181","4",0.917,"Sig2"
"263","554-59","4",0.917,"Sig2"
"264","554-32","4",0.917,"Sig2"
"265","554-25","4",0.903,"Sig2"
"266","554-18","4",0.904,"Sig2"
"267","447-09-3566","4",0.467,"Sig2"
"268","447-07-144","4",0.149,"Sig2"
"269","141-9","4",0.692,"Sig2"
"270","141-80","4",0.706,"Sig2"
"271","141-77","4",0.454,"Sig2"
"272","141-76","4",0.546,"Sig2"
"273","141-7","4",0.936,"Sig2"
"274","141-59","4",0.936,"Sig2"
"275","141-3","4",0.978,"Sig2"
"276","141-19","4",0.978,"Sig2"
"277","141-11","4",0.616,"Sig2"
"278","141-14","4",0.831,"Sig2"
"279","909-12729","5",0.917,"Sig4"
"280","TCGA-EJ-5525","5",0.949,"Sig4"
"281","447-03-595","5",0.925,"Sig4"
"282","447-09-5702","5",0.829,"Sig4"
"283","TCGA-G9-6369","5",0.987,"Sig4"
"284","TCGA-XK-AAJP","5",0.987,"Sig4"
"285","447-02-2072","5",0.925,"Sig4"
"286","TCGA-G9-6338","5",0.987,"Sig4"
"287","TCGA-KK-A8IA","5",0.987,"Sig4"
"288","909-WCMC26731","5",0.588,"Sig4"
"289","554-9","5",0.917,"Sig4"
"290","915-5115098","5",0.939,"Sig4"
"291","554-30","5",0.899,"Sig4"
"292","909-WCMC24854","5",0.588,"Sig4"
"293","915-5115024","5",0.909,"Sig4"
"294","915-1115244","5",0.939,"Sig4"
"295","141-43","5",0.181,"Sig4"
"296","141-38","5",0.978,"Sig4"
"297","TCGA-EJ-7782","5",0.987,"Sig4"
"298","141-47","5",0.848,"Sig4"
"299","TCGA-EJ-5526","5",0.949,"Sig4"
"300","TCGA-YL-A8SF","5",0.987,"Sig4"
"301","TCGA-VN-A88L","5",0.987,"Sig4"
"302","TCGA-G9-6377","5",0.987,"Sig4"
"303","TCGA-EJ-A7NN","5",0.987,"Sig4"
"304","447-04-1790","5",0.925,"Sig4"
"305","TCGA-EJ-5507","5",0.774,"Sig4"
"306","TCGA-KK-A6E6","5",0.987,"Sig4"
"307","915-5115130","5",0.952,"Sig4"
"308","TCGA-EJ-8472","5",0.987,"Sig4"
"309","141-5","5",0.902,"Sig4"
"310","141-28","5",0.978,"Sig4"
"311","915-6115288","5",0.958,"Sig4"
"312","915-5115075","5",0.939,"Sig4"
"313","447-01-2492","5",0.903,"Sig4"
"314","909-WCMC12688","5",0.917,"Sig4"
"315","TCGA-YL-A9WY","5",0.987,"Sig4"
"316","TCGA-J9-A52E","5",0.987,"Sig4"
"317","TCGA-EJ-5521","5",0.928,"Sig4"
"318","TCGA-CH-5761","5",0.958,"Sig4"
"319","TCGA-CH-5753","5",0.958,"Sig4"
"320","915-5115186","5",0.952,"Sig4"
"321","915-5115127","5",0.952,"Sig4"
"322","554-57","5",0.917,"Sig4"
"323","447-06-3939","5",0.142,"Sig4"
"324","554-41","5",0.917,"Sig4"
"325","915-5115078","5",0.939,"Sig4"
"326","915-5115261","5",0.953,"Sig4"
"327","447-STID0000002915","5",0.886,"Sig4"
"328","447-09-3421","5",0.582,"Sig4"
"329","TCGA-TP-A8TV","5",0.987,"Sig4"
"330","TCGA-KK-A7AZ","5",0.987,"Sig4"
"331","TCGA-KK-A6E0","5",0.987,"Sig4"
"332","TCGA-HC-A48F","5",0.987,"Sig4"
"333","TCGA-HC-7209","5",0.987,"Sig4"
"334","TCGA-FC-7961","5",0.987,"Sig4"
"335","TCGA-EJ-A65D","5",0.987,"Sig4"
"336","TCGA-EJ-8470","5",0.987,"Sig4"
"337","447-09-5700","5",0.789,"Sig4"
"338","447-09-2744","5",0.508,"Sig4"
"339","447-07-684","5",0.476,"Sig4"
"340","447-00-000450","5",0.842,"Sig4"
"341","447-01-2382","5",0.894,"Sig4"
"342","TCGA-ZG-A8QZ","5",0.987,"Sig4"
"343","TCGA-ZG-A8QY","5",0.987,"Sig4"
"344","TCGA-KK-A8I5","5",0.987,"Sig4"
"345","TCGA-KK-A6E1","5",0.987,"Sig4"
"346","TCGA-J9-A8CP","5",0.987,"Sig4"
"347","TCGA-J4-A83I","5",0.987,"Sig4"
"348","TCGA-HI-7168","5",0.987,"Sig4"
"349","TCGA-EJ-7325","5",0.97,"Sig4"
"350","TCGA-EJ-7312","5",0.97,"Sig4"
"351","TCGA-CH-5752","5",0.958,"Sig4"
"352","915-5115028","5",0.94,"Sig4"
"353","554-6","5",0.917,"Sig4"
"354","447-09-5630","5",0.811,"Sig4"
"355","447-05-3859","5",0.925,"Sig4"
"356","447-06-1651","5",0.925,"Sig4"
"357","141-46","5",0.763,"Sig4"
"358","915-5115259","5",0.953,"Sig4"
"359","TCGA-YL-A8SL","5",0.987,"Sig4"
"360","TCGA-XK-AAJT","5",0.987,"Sig4"
"361","TCGA-VN-A88R","5",0.987,"Sig4"
"362","TCGA-HC-A632","5",0.987,"Sig4"
"363","TCGA-EJ-5519","5",0.929,"Sig4"
"364","TCGA-EJ-5504","5",0.714,"Sig4"
"365","TCGA-CH-5771","5",0.958,"Sig4"
"366","TCGA-CH-5754","5",0.958,"Sig4"
"367","915-6115402","5",0.958,"Sig4"
"368","915-6115391","5",0.958,"Sig4"
"369","915-6115387","5",0.958,"Sig4"
"370","915-5115506","5",0.953,"Sig4"
"371","915-5115057","5",0.939,"Sig4"
"372","915-1115343","5",0.909,"Sig4"
"373","915-1115082","5",0.731,"Sig4"
"374","554-42","5",0.917,"Sig4"
"375","554-28","5",0.903,"Sig4"
"376","554-22","5",0.904,"Sig4"
"377","447-STID0000003051","5",0.889,"Sig4"
"378","447-05-839","5",0.925,"Sig4"
"379","447-04-903","5",0.925,"Sig4"
"380","141-71","5",0.654,"Sig4"
"381","141-15","5",0.944,"Sig4"
"382","141-22","5",0.978,"Sig4"
"383","TCGA-YL-A9WL","5",0.987,"Sig4"
"384","TCGA-YL-A8SP","5",0.987,"Sig4"
"385","TCGA-YL-A8SA","5",0.987,"Sig4"
"386","TCGA-YL-A8HM","5",0.987,"Sig4"
"387","TCGA-XQ-A8TA","5",0.987,"Sig4"
"388","TCGA-XK-AAJA","5",0.987,"Sig4"
"389","TCGA-XK-AAJ3","5",0.987,"Sig4"
"390","TCGA-XJ-A83F","5",0.987,"Sig4"
"391","TCGA-WW-A8ZI","5",0.987,"Sig4"
"392","TCGA-VP-A87J","5",0.987,"Sig4"
"393","TCGA-VP-A87D","5",0.987,"Sig4"
"394","TCGA-VP-A87B","5",0.987,"Sig4"
"395","TCGA-VN-A88P","5",0.987,"Sig4"
"396","TCGA-VN-A88K","5",0.987,"Sig4"
"397","TCGA-V1-A9ZR","5",0.987,"Sig4"
"398","TCGA-TP-A8TT","5",0.987,"Sig4"
"399","TCGA-QU-A6IL","5",0.987,"Sig4"
"400","TCGA-M7-A724","5",0.987,"Sig4"
"401","TCGA-M7-A71Z","5",0.987,"Sig4"
"402","TCGA-KK-A8II","5",0.987,"Sig4"
"403","TCGA-KK-A8IH","5",0.987,"Sig4"
"404","TCGA-KK-A8IF","5",0.987,"Sig4"
"405","TCGA-KK-A7B1","5",0.987,"Sig4"
"406","TCGA-KK-A7AU","5",0.987,"Sig4"
"407","TCGA-KK-A7AQ","5",0.987,"Sig4"
"408","TCGA-KK-A59Y","5",0.987,"Sig4"
"409","TCGA-KK-A59X","5",0.987,"Sig4"
"410","TCGA-KC-A4BV","5",0.987,"Sig4"
"411","TCGA-J9-A8CN","5",0.987,"Sig4"
"412","TCGA-J9-A8CK","5",0.987,"Sig4"
"413","TCGA-J9-A52D","5",0.987,"Sig4"
"414","TCGA-J4-A67N","5",0.987,"Sig4"
"415","TCGA-HI-7171","5",0.987,"Sig4"
"416","TCGA-HC-A9TH","5",0.987,"Sig4"
"417","TCGA-HC-8257","5",0.987,"Sig4"
"418","TCGA-HC-7821","5",0.987,"Sig4"
"419","TCGA-HC-7080","5",0.987,"Sig4"
"420","TCGA-HC-7077","5",0.987,"Sig4"
"421","TCGA-G9-7525","5",0.987,"Sig4"
"422","TCGA-G9-6363","5",0.987,"Sig4"
"423","TCGA-G9-6361","5",0.987,"Sig4"
"424","TCGA-EJ-7789","5",0.987,"Sig4"
"425","TCGA-EJ-7315","5",0.97,"Sig4"
"426","TCGA-EJ-5542","5",0.97,"Sig4"
"427","TCGA-EJ-5524","5",0.949,"Sig4"
"428","TCGA-CH-5794","5",-0.0246,"Sig4"
"429","TCGA-CH-5791","5",0.958,"Sig4"
"430","TCGA-CH-5788","5",0.958,"Sig4"
"431","TCGA-CH-5768","5",0.958,"Sig4"
"432","TCGA-CH-5745","5",0.958,"Sig4"
"433","TCGA-CH-5744","5",0.958,"Sig4"
"434","TCGA-CH-5741","5",0.958,"Sig4"
"435","TCGA-CH-5740","5",0.958,"Sig4"
"436","TCGA-2A-A8W1","5",0.958,"Sig4"
"437","TCGA-2A-A8VX","5",0.958,"Sig4"
"438","915-6115393","5",0.958,"Sig4"
"439","915-6115390","5",0.958,"Sig4"
"440","915-6115321","5",0.958,"Sig4"
"441","915-6115320","5",0.958,"Sig4"
"442","915-5115650","5",0.958,"Sig4"
"443","915-5115528","5",0.958,"Sig4"
"444","915-5115411","5",0.953,"Sig4"
"445","915-5115258","5",0.953,"Sig4"
"446","915-5115256","5",0.953,"Sig4"
"447","915-5115255","5",0.953,"Sig4"
"448","915-5115199","5",0.948,"Sig4"
"449","915-5115196","5",0.952,"Sig4"
"450","915-5115187","5",0.952,"Sig4"
"451","915-5115128","5",0.952,"Sig4"
"452","915-5115058","5",0.939,"Sig4"
"453","915-5115030","5",0.923,"Sig4"
"454","915-5115026","5",0.909,"Sig4"
"455","915-1115311","5",0.909,"Sig4"
"456","915-1115305","5",0.909,"Sig4"
"457","909-WCMC21017","5",0.627,"Sig4"
"458","909-WCMC20870","5",0.917,"Sig4"
"459","554-52","5",0.917,"Sig4"
"460","554-51","5",0.917,"Sig4"
"461","554-5","5",0.917,"Sig4"
"462","554-43","5",0.917,"Sig4"
"463","554-31","5",0.899,"Sig4"
"464","554-27","5",0.903,"Sig4"
"465","554-26","5",0.903,"Sig4"
"466","554-23","5",0.904,"Sig4"
"467","554-21","5",0.904,"Sig4"
"468","554-19","5",0.904,"Sig4"
"469","554-10","5",0.902,"Sig4"
"470","447-STID0000000415","5",0.805,"Sig4"
"471","447-09-2767","5",0.462,"Sig4"
"472","447-06-4428","5",-0.031,"Sig4"
"473","447-06-1749","5",0.925,"Sig4"
"474","447-05-620","5",0.925,"Sig4"
"475","447-05-3852","5",0.925,"Sig4"
"476","447-04-3347","5",0.925,"Sig4"
"477","447-04-3222","5",0.925,"Sig4"
"478","447-04-1084","5",0.925,"Sig4"
"479","447-03-1426","5",0.925,"Sig4"
"480","447-02-1899","5",0.925,"Sig4"
"481","447-01-1934","5",0.869,"Sig4"
"482","141-81","5",0.738,"Sig4"
"483","141-8","5",0.786,"Sig4"
"484","141-72","5",0.44,"Sig4"
"485","141-20","5",0.978,"Sig4"
"486","141-66","5",0.936,"Sig4"
"487","447-07-837","6",0.317,"Sig6"
"488","TCGA-VP-A872","6",0.987,"Sig6"
"489","915-5115547","6",0.958,"Sig6"
"490","TCGA-G9-6362","6",0.987,"Sig6"
"491","TCGA-HC-A631","6",0.987,"Sig6"
"492","447-04-2599","6",0.925,"Sig6"
"493","TCGA-KK-A7AP","6",0.987,"Sig6"
"494","TCGA-V1-A8WS","6",0.987,"Sig6"
"495","915-5115203","6",0.953,"Sig6"
"496","909-WCMC7951","6",0.632,"Sig6"
"497","909-WCMC10","6",0.917,"Sig6"
"498","TCGA-Y6-A9XI","6",0.987,"Sig6"
"499","TCGA-HC-7081","6",0.987,"Sig6"
"500","TCGA-G9-6379","6",0.987,"Sig6"
"501","TCGA-YL-A8HL","6",0.987,"Sig6"
"502","TCGA-ZG-A9ND","6",0.987,"Sig6"
"503","TCGA-G9-A9S7","6",0.987,"Sig6"
"504","TCGA-HC-7078","6",0.987,"Sig6"
"505","447-STID0000002682","6",0.798,"Sig6"
"506","TCGA-ZG-A9LS","6",0.987,"Sig6"
"507","TCGA-KK-A8IB","6",0.987,"Sig6"
"508","TCGA-V1-A9ZK","6",0.987,"Sig6"
"509","TCGA-HC-8264","6",0.987,"Sig6"
"510","TCGA-QU-A6IN","6",0.987,"Sig6"
"511","TCGA-XJ-A83G","6",0.987,"Sig6"
"512","TCGA-CH-5764","6",0.958,"Sig6"
"513","TCGA-EJ-5499","6",0.567,"Sig6"
"514","TCGA-X4-A8KQ","6",0.987,"Sig6"
"515","TCGA-J4-A83J","6",0.987,"Sig6"
"516","TCGA-J9-A52B","6",0.987,"Sig6"
"517","TCGA-HC-A6AN","6",0.987,"Sig6"
"518","TCGA-VP-AA1N","6",0.987,"Sig6"
"519","TCGA-V1-A8MM","6",0.987,"Sig6"
"520","TCGA-TK-A8OK","6",0.987,"Sig6"
"521","TCGA-M7-A725","6",0.987,"Sig6"
"522","TCGA-KK-A8IC","6",0.987,"Sig6"
"523","TCGA-KK-A6E8","6",0.987,"Sig6"
"524","TCGA-HC-7210","6",0.987,"Sig6"
"525","TCGA-EJ-8469","6",0.987,"Sig6"
"526","TCGA-EJ-5522","6",0.928,"Sig6"
"527","TCGA-CH-5792","6",0.958,"Sig6"
"528","TCGA-2A-A8W3","6",0.958,"Sig6"
"529","915-5115077","6",0.939,"Sig6"
"530","447-STID0000001024","6",0.805,"Sig6"
"531","141-41","6",0.978,"Sig6"
"532","447-05-2212","6",0.925,"Sig6"
"533","TCGA-ZG-A9LM","6",0.987,"Sig6"
"534","TCGA-ZG-A9MC","6",0.987,"Sig6"
"535","TCGA-ZG-A9LU","6",0.987,"Sig6"
"536","TCGA-ZG-A9L6","6",0.987,"Sig6"
"537","TCGA-ZG-A9L4","6",0.987,"Sig6"
"538","TCGA-ZG-A9L2","6",0.987,"Sig6"
"539","TCGA-ZG-A9L1","6",0.987,"Sig6"
"540","TCGA-ZG-A8QW","6",0.987,"Sig6"
"541","TCGA-YL-A9WX","6",0.987,"Sig6"
"542","TCGA-YL-A9WK","6",0.987,"Sig6"
"543","TCGA-YL-A9WJ","6",0.987,"Sig6"
"544","TCGA-YL-A9WI","6",0.987,"Sig6"
"545","TCGA-YL-A8SR","6",0.987,"Sig6"
"546","TCGA-YL-A8SO","6",0.987,"Sig6"
"547","TCGA-YL-A8SK","6",0.987,"Sig6"
"548","TCGA-YL-A8SJ","6",0.987,"Sig6"
"549","TCGA-YL-A8SI","6",0.987,"Sig6"
"550","TCGA-YL-A8SH","6",0.987,"Sig6"
"551","TCGA-YL-A8SC","6",0.987,"Sig6"
"552","TCGA-YL-A8SB","6",0.987,"Sig6"
"553","TCGA-YL-A8S9","6",0.987,"Sig6"
"554","TCGA-YL-A8HO","6",0.987,"Sig6"
"555","TCGA-YL-A8HK","6",0.987,"Sig6"
"556","TCGA-YL-A8HJ","6",0.987,"Sig6"
"557","TCGA-Y6-A8TL","6",0.987,"Sig6"
"558","TCGA-XK-AAK1","6",0.987,"Sig6"
"559","TCGA-XK-AAJU","6",0.987,"Sig6"
"560","TCGA-XK-AAJR","6",0.987,"Sig6"
"561","TCGA-XK-AAIW","6",0.987,"Sig6"
