cytoband	13q14.12	21q22.3	10q23.31	5q11.2	8p21.2	6q15	12p13.1	16q24.1	16q22.2	17p13.1	5q13.2	1p36.22	18q22.3	9p21.3	5q22.3	1p31.3	15q11.2	2q31.1	1q32.3	9p24.2	4q35.1	
	TPT1-AS1					ATG5	KLRK1	MON1B	COG8		LOC101928858	ATP6V0B	LINC00909	MEGF9		FCGR1A	GREM1		MTR	IFNA6	CENPC	
	CPB2-AS1					ZBTB24	GABARAPL1	TCF25	UTP4		LOC101928885	AVPR1B	C18orf65	ELAVL2		FCGR1B	RPUSD2		NEK2	IFNA7	CENPE	
	LINC00562					SNAP91	CLEC4E	ZCCHC14	MARVELD3		LOC101928924	ADGRB2	LINC00683	ENG		FMO5	EMC4		NID1	IFNA8	CLCN3	
	LINC00563					FIG4	CLEC2D	GSE1	MTSS1L		AK6	BCL9	LOC400661	STOM		GBP1	KLF13		NVL	IFNA10	CNGA1	
	LINC00441					CASP8AP2	TAS2R9	ATMIN	EXOSC6		LOC102467655	BGLAP	HSBP1L1	FANCC		GBP2	MAGEL2		PFKFB2	IFNA13	CPE	
	MED4-AS1					SYNCRIP	TAS2R8	COTL1	ZFP90		LOC102477328	BMP8B	LOC643542	FANCG		GBP3	PPP1R14D		PIGR	IFNA14	CRMP1	
	HTR2A-AS1					SLC35A1	TAS2R7	MLYCD	IL34		LOC102503427	BRDT	C18orf63	FBP1		GFI1	MTMR10		PLXNA2	IFNA16	CSN1S1	
	ENOX1-AS2					FUT9	TAS2R13	CPNE7	TMED6		LOC102724392	C1QA	PARD6G-AS1	FKTN		GJA5	ZNF770		PPP2R5A	IFNA17	CSN2	
	LINC00400					TRAF3IP2	TAS2R10	IL17C	FUK		LOC105379030	C1QB	LOC100131655	FOXE1		GJA8	RMDN3		PROX1	IFNA21	CSN3	
	SLC25A30-AS1					PNRC1	TAS2R14	ANKRD11	HCCAT5			C1QC	LINC01541	FPGS		GCLM	DNAJC17		PSEN2	IFNA22P	CTBP1	
	SMIM2-IT1					ASCC3	CLEC4A	OSGIN1	LOC283922			C4BPA	LOC100505797	FXN		GNAI3	NOP10		PTPN14	IFNB1	CTSO	
	SMIM2-AS1					BVES	HEBP1	GINS2	PDXDC2P			C4BPB	LOC100505817	NR5A1		GNAT2	NSMCE3		RAB4A	IFNW1	DGKQ	
	LOC101929259					SEC63	DERA	TRAPPC2L	CLEC18C			C8A	LOC100505853	GALT		GNG5	EMC7		RGS7	IL11RA	DCK	
	LINC01198					CEP162	DDX47	WWOX	ATXN1L			C8B	RBFADN	GAS1		GSTM1	PAK6		RYR2	INSL4	DCTD	
	MIR8079					ANKRD6	CLEC1B	BCO1	PKD1L3			CA6	MIR5011	NR6A1		GSTM2	KNL1		SRP9	JAK2	DHX15	
	LINC01055					DOPEY1	CLEC1A	NECAB2	CLEC18A			CACNA1E	MIR548AV	GCNT1		GSTM3	AVEN		AURKAPS1	MLLT3	DMP1	
	LINC00428					ZNF292	KLRF1	KLHDC4	C16orf47			CACNA1S	LOC101060542	GGTA1P		GSTM4	ATP10A		TARBP1	MTAP	DRD5	
	LINC00390					CDK19	WBP11	DEF8	LOC400541			CAPN2	LOC101927481	B4GALT1		GSTM5	GJD2		TBCE	NDUFB6	DSPP	
						MDN1	MANSC1	BANP	MIR140			CAPZA1	LOC101927606	GNAQ		GTF2B	VPS18		TGFB2	NFIB	EDNRA	
						UFL1	MAGOHB	ZDHHC7	NPIPB15			CAPZB	LOC101927651	GNG10		HMGCS2	KATNBL1		LEFTY2	NFX1	EGF	
						ORC3	FAM90A1	CENPN	CLEC18B			CASP9	LINC01029	GOLGA1		HSD3B1	NIPA2		TLR5	NPR2	EIF4E	
						PNISR	STYK1	CMC2	SNORD71			CASQ1	LOC101927989	GPR21		HSD3B2	C15orf41		GPR137B	NTRK2	ELF2	
						IBTK	GPRC5D	JPH3	SNORD111			CASQ2	LOC102724913	GSN		IGSF3	ZFYVE19		TP53BP2	PAX5	ENPEP	
						FBXL4	ATF7IP	VAT1L	SNORD111B			RUNX3	LOC105372179	HNRNPK		CYR61	DISP2		TRAF5	PCSK5	EPHA5	
						SNORD50A	H2AFJ	TLDC1	VAC14-AS1			CD1A		HSD17B3		IL12RB2	CHRFAM7A		TSNAX	PGM5	EREG	
						SESN1	LMO3	WFDC1	TAT-AS1			CD1B		DNAJA1		JAK1	ULK4P3		USH2A	PRKACG	ETFDH	
						OSTM1	AICDA	MTHFSD	MIR1538			CD1C		HSPA5		KCNA2	ULK4P1		WNT9A	PRSS3	EVC	
						NDUFAF4	RIMKLB	DBNDD1	MIR1972-1			CD1D		TNC		KCNA3	ARHGAP11B		SLC30A1	PTPRD	F11	
						CYB5R4	FAM234B	KLHL36	SNORA70D			CD1E		IARS		KCNA10	DPH6		HIST3H3	RFX3	FABP2	
						TUBE1	CLEC7A	FBXO31	MIR1972-2			CD2		IFNA1		KCNC4	C15orf57		GNPAT	RLN1	ACSL1	
						C6orf203	BCL2L14	CMIP	SMG1P7			CD247		IFNA2		KCND3	KNSTRN		DYRK3	RLN2	FAT1	
						CDC40	RERGL	CDT1	LOC100506083			CD5L		IFNA4		LEPR	BMF		CDC42BPA	RMRP	FGA	
						UBE2J1	PLBD1	MAP1LC3B	LINC01568			TNFRSF8		IFNA5		MOV10	SNORD107		DEGS1	RORB	FGB	
						COQ3	DUSP16	DYNLRB2	LINC01572			CD34		IFNA6		MSH4	CHST14		RAB29	RPS6	FGF2	
						SOBP	APOLD1	HSDL1	LOC101928035			CD48		IFNA7		NFIA	TUBGCP5		TAF1A	CCL19	FGF5	
						AKIRIN2	GSG1	CRISPLD2	MIR7641-2			CD53		IFNA8		NGF	NIPA1		FCMR	CCL21	FGFR3	
						QRSL1	RERG	SPIRE2	LOC105371328			CD58		IFNA10		NHLH2	PWAR1		MAPKAPK2	SH3GL2	FGG	
						FAM46A	HTR7P1	ZNF469	LOC105371335			CDA		IFNA13		NOTCH2	LOC145845		GGPS1	SHB	FRG1	
						RARS2	CLEC6A	CNTNAP4	LOC105376772			CDK11B		IFNA14		NRAS	TMCO5A		IKBKE	SLC1A1	GAB1	
						PDSS2	BORCS5	CENPBD1				CDC20		IFNA16		ROR1	CSNK1A1P1		TMEM63A	SMARCA2	GABRA2	
						SMIM8	TMEM52B	ZNF276				CDC42		IFNA17		OVGP1	OTUD7A		TOMM20	SNAPC3	GABRA4	
						LYRM2	HIST4H4	KCNG4				CDKN2C		IFNA21		PDE4B	SPRED1		URB2	TEK	GABRB1	
						SNX14	ERP27	SDR42E1				CD52		IFNA22P		PDZK1	PGBD4		LPGAT1	TESK1	GABRG1	
						HACE1	A2ML1	PKD1L2				CENPF		IFNB1		PGM1	FSIP1		BPNT1	TLE1	GAK	
						BEND3	A2M-AS1	RNF166				RCC1		IFNW1		PIN1P1	RHOV		LEFTY1	TLE4	GC	
						RRAGD	C12orf60	C16orf46				CHI3L1		IL11RA		PRKAB2	LPCAT4		SPHAR	TLN1	GK2	
						PRDM13	CLEC12A	DNAAF1				CHI3L2		LCN2		PRKACB	NUTM1		CAPN9	TPM2	GK3P	
						BACH2	CLECL1	SPATA2L				CHIT1		LMX1B		PKN2	LOC283683		IL24	TYRP1	GLRB	
						LINC01590	LINC00612	SPATA33				LYST		MLLT3		PSMA5	GOLGA6L2		DUSP10	VCP	GNRHR	
						POPDC3	TAS2R43	ZC3H18				CHRNB2		MTAP		PTGER3	OR4N4		COG2	VLDLR	GPM6A	
						MICAL1	TAS2R31	CDYL2				CKS1B		MUSK		PTGFR	LOC283710		RBM34	ZFAND5	GRK4	
						MANEA	TAS2R46	SLC38A8				CLCA1		NCBP1		PTGFRN	FAM98B		FBXO28	PIP5K1B	GRIA2	
						GPR63	TAS2R30	SLC22A31				CLCN6		NDUFA8		ABCD3	HERC2P3		SRGAP2	RECK	GRID2	
						SPACA1	TAS2R19	FLJ30679				CLCNKA		NDUFB6		RABGGTB	GOLGA6L1		ABCB10	MPDZ	CXCL1	
						ARMC2	TAS2R20	LOC146513				CLCNKB		NFIB		RAP1A	GOLGA8G		RAB3GAP2	CER1	CXCL2	
						RPF2	TAS2R50	ZFPM1				CLK2		NFIL3		RNU1-4	GOLGA8IP		INTS7	PLAA	CXCL3	
						MCHR2	CLEC9A	ADAD2				PLK3		NFX1		SNORD21	SNORD108		NSL1	GRHPR	GRSF1	
						FAXC	LINC01559	ADAMTS18				CNN3		NINJ1		RPE65	SNORD109A		RPS6KC1	FAM189A2	GUCY1A3	
						GJA10	CLEC4D	SNAI3-AS1				CNR2		NPR2		RPL5	SNORD115-1		DIEXF	TJP2	GUCY1B3	
						RTN4IP1	LINC01252	LINC00311				COL8A2		NTRK2		SORT1	WHAMMP3		TAF5L	GDA	GYPA	
						USP45	TAS2R42	ZNF778				COL9A2		ROR2		SARS	FMN1		DISC2	GNA14	GYPB	
						SLC22A16	LOC374443	ACSF3				COL11A1		OMD		SLC16A1	SNORD64		DISC1	RGP1	GYPE	
						LINC01621	CLEC2A	LINC00304				COL16A1		OGN		STXBP3	PWAR4		FLVCR1	MELK	H2AFZ	
						UBE3D	CLEC12B	NUDT7				COPA		ORM1		SYCP1	PWARSN		CNIH4	RUSC2	HADH	
						MFSD4B	RPL13AP20	SNAI3				CORT		ORM2		TAF13	LINC01193		PYCR2	ZBTB5	HTT	
						GTF3C6	LINC00937	LOC339059				CPT2		PAPPA		TBX15	MRPL42P5		NENF	PUM3	HGFAC	
						MRAP2	LOC400002	FAM92B				CR1		PAX5		TGFBR3	IGHV1OR15-1		IL19	GNE	UBE2K	
						RWDD2A	ZNF705A	CTU2				CR1L		PDCL		TSHB	C15orf52		G0S2	RCL1	HMGB2	
						KLHL32	FAM66C	PABPN1L				CR2		PBX3		USP1	GOLGA8EP		IL20	TOPORS	HMX1	
						SLC16A10	DDX12P	LOC400548				CRABP2		PCSK5		VCAM1	OR4M2		RRP15	SIGMAR1	HNRNPD	
						RIPPLY2	SMCO3	FENDRR				CRP		PGM5		WNT2B	OR4N3P		TRIM17	CREB3	HPGD	
						PM20D2	LOH12CR2	LOC400553				CRYZ		PHF2		CSDE1	HERC2P10		KCTD3	UNC13B	HTN1	
						SRSF12	POU5F1P3	LOC400558				CSF1		PPP3R2		EVI5	HERC2P2		DTL	SEMA4D	HTN3	
						CFAP206	LOC642846	C16orf74				CSF3R		PPP6C		CDC7	C15orf53		ARID4B	DMRT2	IBSP	
						BVES-AS1	FAM86FP	LOC440390				CSRP1		PRKACG		HIST2H2AA3	C15orf54		EGLN1	RRAGA	IDUA	
						PRSS35	PRB2	SNORD68				CTBS		PRSS3		HIST2H2AC	MIR211		MAP10	CCL27	CFI	
						C6orf163	MIR613	LINC00917				CTH		PSMB7		HIST2H2BE	NF1P2		MARC2	GADD45G	IGFBP7	
						CCDC162P	MIR614	VPS9D1-AS1				CTPS1		PSMD5		HIST2H4A	GOLGA6L22		SUSD4	SPIN1	JCHAIN	
						AK9	SKP1P2	LOC100129617				CTSE		PTCH1		BCAR3	HERC2P9		GPATCH2	PSIP1	RBPJ	
						NT5DC1	SLC15A5	LOC100129697				CTSK		PTGS1		TTF2	WHAMMP2		HEATR1	INSL6	IL2	
						HS3ST5	SMIM10L1	URAHP				CTSS		PTPN3		ITGA10	GOLGA8B		TMEM206	PTENP1	CXCL8	
						LACE1	MIR1244-1	SYCE1L				CYP2J2		RAD23B		LMO4	EIF2AK4		YOD1	DCTN3	IL15	
						MMS22L	MIR1244-3	LOC100287036				CYP4A11		RGS3		CDC14A	LINC00929		BATF3	FRMPD1	ING2	
						SCML4	MIR1244-2	LOC100289580				CYP4B1		RMRP		RTCA	C15orf62		SLC30A10	KDM4C	CXCL10	
						CEP57L1	KLRF2	MIR1910				DAB1		RORB		FPGT	GOLGA8N		IARS2	SMC5	IRF2	
						PPIL6	LINC00987	MIR3182				CD55		RPL12		PEX11B	C15orf56		HHAT	KANK1	KDR	
						LINC01268	LOC100506159	LINC01082				DBT		RPS6		FUBP1	PHGR1		ENAH	VPS13A	KIT	
						FLJ34503	LOC100506314	C16orf95				GADD45A		CCL19		BCL10	CHEK2P2		NUP133	AGTPBP1	KLKB1	
						GJB7	KLRC4-KLRK1	MIR4720				DDOST		CCL21		DIRAS3	LOC646214		RCOR3	PHF24	LETM1	
						SNHG5	PRH1-PRR4	MIR4722				DHX9		SH3GL2		SLC16A4	CXADRP2		SERTAD4	CDK20	LRPAP1	
						LINC00222	MIR3974	MIR4719				DFFA		SHB		SRSF11	PDCD6IPP2		ERO1B	DDX58	MAD2L1	
						LIN28B	RERG-AS1	MIR5093				DFFB		SNAPC3		CD101	IGHV1OR15-3		FMN2	TMEM2	SMAD1	
						GSTM2P1	LOC101927905	MIR5189				DHCR24		STXBP1		SEP15	REREP3		SMYD2	SLC24A2	MANBA	
						RFPL4B	LOC101928030	PRCAT47				DIO1		SYK		ZRANB2	GOLGA8S		COQ8A	DNAJB5	MGST2	
						FAM229B	LOC101928100	FAM157C				DLSTP1		TAL2		ARHGAP29	GOLGA8J		GJC2	DCAF12	CXCL9	
						TSG1	LOC101928162	LINC01081				DPH2		TEK		SEC22B	GOLGA8T		CAMK1G	ZNF658	AFF1	
						TRAF3IP2-AS1	PLBD1-AS1	LOC101927793				DPT		TESK1		CHD1L	GOLGA8K		SIPA1L2	SPATA31A7	NR3C2	
						SNORD50B	LINC01489	LOC101927817				DPYD		TGFBR1		CLCA3P	GOLGA8M		ZP4	SPAG8	MSX1	
						MIR587	LOC101930452	LOC101928203				DR1		TLE1		CLCA2	ANP32AP1		RHOU	FBXO10	MTNR1A	
						MCHR2-AS1	MIR7641-2	LINC01229				DRD5P2		TLE4		HS2ST1	GOLGA6L6		GREM2	OSTF1	MTTP	
						TPI1P3	LOC102724020	LINC01227				DVL1		TLN1		PDE4DIP	LOC727924		NUCKS1	RANBP6	MUC7	
						METTL24	PRH1-TAS2R14	LOC101928417				E2F2		TLR4		DNAJC6	GOLGA8O		ACBD3	DNAI1	MYL5	
						LIN28B-AS1		LOC101928446				ECE1		TMOD1		LRIG2	GOLGA6L7P		MARC1	SIT1	NDUFC1	
						TSTD3		LOC101928557				ECM1		TPM2		PLPPR4	GOLGA8H		ARV1	SPINK4	NEK1	
						CD24		LOC101928614				S1PR1		TRAF1		RBM8A	GOLGA8CP		AIDA	CD274	NFKB1	
						MIR2113		LOC101928659				EDN2		TXN		INSL5	PWRN1		JMJD4	PSAT1	NKX6-1	
						LOC100422737		LOC101928682				PHC2		TYRP1		PIGK	PWRN2		C1orf116	UBQLN1	NPY1R	
						MIR4464		LOC101928708				EIF2D		UGCG		TSPAN2	SNORD116-1		C1orf35	STOML2	NPY2R	
						MIR4643		LOC101928737				EFNA1		VCP		PATJ	SNORD116-2		TTC13	PCA3	NPY5R	
						MIR548AI		LOC101928880				EFNA3		CORO2A		BCAS2	SNORD116-3		PGBD5	AK3	PCDH7	
						LOC100996634		MIR6504				EFNA4		XPA		WARS2	SNORD116-4		C1orf115	EXOSC3	PDGFRA	
						MANEA-AS1		MIR6775				CELSR2		ZFP37		CEPT1	SNORD116-5		HHIPL2	ABHD17B	PDE6B	
						LOC101927314		MIR7854				MEGF6		ZNF79		PIAS3	SNORD116-8		VASH2	CDKN2A-AS1	PDHA2	
						LOC101927365		MIR8058				EPHA2		ZNF189		VAV3	SNORD116-10		PCNX2	UBAP1	GATB	
						LOC101927640		MIR6774				ELAVL4		ZFAND5		LAMTOR5	SNORD116-11		WDR26	GOLM1	PF4	
						LOC101927686		MAFTRR				ELF3		NR4A3		IFI44	SNORD116-12		TRAF3IP3	CHMP5	PF4V1	
						LOC101927768		LOC102724084				ELK4		PIP5K1B		POLR3C	SNORD116-13		TRIM11	TMEM8B	PITX2	
						LINC01526		LOC102724163				ENO1		RECK		TXNIP	SNORD116-14		RASSF5	SHC3	PKD2	
						LOC101928820		LOC102724344				ENSA		IKBKAP		AP4B1	SNORD116-15		MIXL1	EQTN	PLRG1	
						LOC101928911		LOC102724467				EPB41		CDC14B		PHTF1	SNORD116-16		SPRTN	BNC2	EXOSC9	
						LOC101928936		FOXC2-AS1				EPHA8		TMEFF1		AHCYL1	SNORD116-17		FCAMR	HAUS6	POLR2B	
						LOC101929057		LOC105371414				EPHB2		CTNNAL1		WDR3	SNORD116-18		OBSCN	APTX	POU4F2	
						CASC6						EPHX1		MPDZ		MAN1A2	SNORD116-20		NTPCR	CNTLN	PPEF2	
						ARMC2-AS1						EPRS		FBP2		IFI44L	SNORD116-21		MLK4	FOCAD	PPAT	
						MIR7641-2						EPS15		DPM2		DNAJB4	SNORD116-22		LINC00467	UBE2R2	PPBP	
						TBX18-AS1						ESRRG		PRPF4		ADAM30	SNORD116-23		C1orf198	NMRK1	PPID	
						LOC105377879						ETV3		KLF4		CD160	SNORD116-24		DISP1	SPATA6L	PPP2R2C	
						LINC01611						EXTL1		CER1		GLMN	SNORD116-25		SLC45A3	C9orf40	PPP3CA	
						LOC105377924						EXTL2		LHX2		HHLA3	SNORD115-2		WNT3A	SMU1	PRKG2	
						LOC105377962						EYA3		PLAA		DDX20	SNORD116-26		ANGEL2	RFK	MAPK10	
												F3		GRHPR		CLCA4	SNORD116-27		HIST3H2A	KIF27	PTPN13	
												F5		FAM189A2		MTF2	SNORD115-3		SLC26A9	CDC37L1	QDPR	
												F13B		TJP2		NTNG1	SNORD115-4		SNAP47	DENND4C	RAP1GDS1	
												FAAH		ATP6V1G1		WDR47	SNORD115-5		CCSAP	UBAP2	REST	
												FABP3		GABBR2		USP33	SNORD115-6		LYPLAL1	PLGRKT	RFC1	
												FCER1A		GDA		CLCC1	SNORD115-7		DNAH14	CBWD1	RGS12	
												FCER1G		GNA14		SLC35D1	SNORD115-8		C1orf131	KLHL9	RNF4	
												FCGR1A		RALGPS1		ADGRL2	SNORD115-10		SPATA17	OR2S2	ABCE1	
												FCGR1B		RGP1		KIAA1107	SNORD115-11		EDARADD	IFNK	RPL9	
												FCGR2A		TRIM14		ITGB3BP	SNORD115-12		MRPL55	KIAA1161	RPL34	
												FCGR2B		MELK		SLC35A3	SNORD115-13		HIST3H2BB	RIC1	RPS3A	
												FCGR3A		RUSC2		LRRC8B	SNORD115-14		TATDN3	GBA2	S100P	
												FCGR3B		ZBTB5		LPAR3	SNORD115-15		C1orf74	DMRT3	MSMO1	
												FDPS		TNFSF15		DDAH1	SNORD115-16		BROX	NAA35	CXCL6	
												FGR		PTBP3		NBPF14	SNORD115-17		SLC35F3	DMRTA1	CXCL11	
												FHL3		GNE		RWDD3	SNORD115-18		LOC148696	SLC28A3	CXCL5	
												FOXE3		SH2D3C		ZZZ3	SNORD115-20		B3GALNT2	POLR1E	SFRP2	
												FOXD2		TOPORS		SERBP1	SNORD115-21		MFSD4A	LRRC19	SGCB	
												FLG		RABEPK		PTPN22	SNORD115-22		PM20D1	NOL6	SH3BP2	
